cluster_id,character,malePercent,femalePercent,nonbinaryPercent,significant,pValue,size,x_nose,y_nose,x_neck,y_neck,x_lshoulder,y_lshoulder,x_rshoulder,y_rshoulder,x_lelbow,y_lelbow,x_relbow,y_relbow,x_lwrist,y_lwrist,x_rwrist,y_rwrist,x_midhip,y_midhip,x_lhip,y_lhip,x_rhip,y_rhip,x_lknee,y_lknee,x_rknee,y_rknee,x_lankle,y_lankle,x_rankle,y_rankle,x_bigtoe,y_bigtoe,x_rbigtoe,y_rbigtoe
108,neutral,30.1,64.2,5.7,0,0.010213256513694691,123,0.044304,-0.369014,0.051227,-0.328014,0.084085,-0.327916,0.019625,-0.327872,0.096879,-0.266608,0.004541,-0.279140,0.087080,-0.218198,0.015390,-0.317333,0.050855,-0.212468,0.072652,-0.212189,0.028643,-0.212650,0.085794,-0.122707,0.033866,-0.121728,0.101670,-0.035176,0.042475,-0.035086,0.104728,-0.004417,0.036968,-0.007878
109,neutral,32.5,65.1,2.4,0,0.06876470013634509,83,0.050305,-0.374857,0.036765,-0.333633,0.062312,-0.334641,0.009960,-0.332725,0.079920,-0.283606,0.018336,-0.271950,0.083771,-0.276663,0.069017,-0.275379,0.039263,-0.213706,0.058081,-0.214704,0.020877,-0.212693,0.056482,-0.121955,0.022498,-0.119964,0.044524,-0.036429,0.009534,-0.028256,0.066981,-0.012764,0.029500,-0.002036
110,neutral,30.1,66.0,3.9,0,5.0968822509749685e-05,259,0.045993,-0.379558,0.052219,-0.335299,0.087871,-0.335655,0.016376,-0.334942,0.108630,-0.279967,0.003252,-0.279698,0.082083,-0.257096,0.011982,-0.248669,0.050307,-0.215931,0.073308,-0.215486,0.027703,-0.216309,0.071085,-0.122194,0.032756,-0.123101,0.071815,-0.032064,0.042783,-0.038959,0.062010,-0.002376,0.032349,-0.010144
111,neutral,33.9,66.1,0.0,0,0.06655321877439685,56,0.083379,-0.309237,0.084581,-0.279526,0.114111,-0.277552,0.054567,-0.281655,0.152258,-0.294895,0.022059,-0.310164,0.169971,-0.328716,0.009218,-0.349256,0.078230,-0.174198,0.097786,-0.172618,0.058746,-0.175353,0.093804,-0.096640,0.052282,-0.103061,0.090691,-0.024263,0.055203,-0.038076,0.087529,-0.001040,0.050038,-0.015715
112,neutral,29.3,66.4,4.3,0,0.007929324486915364,116,0.069612,-0.361747,0.074540,-0.320704,0.108561,-0.317777,0.041028,-0.323640,0.123450,-0.258239,0.008170,-0.295290,0.113602,-0.210614,0.026685,-0.334251,0.066227,-0.204828,0.089144,-0.203122,0.043480,-0.206709,0.084012,-0.117412,0.034275,-0.120207,0.081281,-0.031769,0.032684,-0.033535,0.073887,-0.005459,0.019771,-0.006482
113,neutral,33.3,66.7,0.0,0,,6,0.145155,-0.270082,0.150103,-0.235756,0.181140,-0.240792,0.122818,-0.232764,0.229455,-0.232204,0.080363,-0.206812,0.246008,-0.236484,0.059685,-0.196204,0.158183,-0.137634,0.169861,-0.139526,0.148806,-0.135489,0.109143,-0.073847,0.181710,-0.086723,0.040100,-0.033038,0.244461,-0.036407,0.010797,-0.029501,0.271662,-0.011714
114,feminine,28.3,66.9,4.8,1,1.1123585146295814e-06,290,0.058947,-0.388790,0.060430,-0.341522,0.097694,-0.339335,0.023179,-0.344166,0.109002,-0.275185,0.006858,-0.283357,0.093580,-0.226867,0.008129,-0.233949,0.050170,-0.218650,0.074142,-0.216824,0.026152,-0.220594,0.065765,-0.121924,0.016906,-0.125243,0.056484,-0.030100,0.021449,-0.035289,0.044599,-0.002284,0.011197,-0.006365
115,neutral,29.1,67.3,3.6,0,0.0842602408982679,55,0.106358,-0.319523,0.109885,-0.284883,0.141735,-0.283754,0.077876,-0.286399,0.162591,-0.239523,0.037167,-0.265346,0.166177,-0.216941,0.002842,-0.262605,0.119206,-0.181596,0.138166,-0.182164,0.099666,-0.180163,0.135584,-0.109995,0.120664,-0.109984,0.127753,-0.027811,0.161214,-0.043109,0.122653,-0.003409,0.174742,-0.015628
116,feminine,27.3,67.5,5.2,1,1.7096771001927502e-06,249,0.070612,-0.386432,0.071684,-0.337701,0.112479,-0.336519,0.031303,-0.339345,0.127813,-0.269819,0.010415,-0.275173,0.128578,-0.211569,0.002158,-0.219468,0.067018,-0.211940,0.092634,-0.210928,0.041309,-0.212616,0.086413,-0.118044,0.043473,-0.120279,0.079692,-0.028904,0.053923,-0.038852,0.073060,-0.002265,0.051524,-0.010115
117,neutral,28.4,69.1,2.5,0,0.010905856199736292,81,0.093238,-0.367744,0.082945,-0.326023,0.120227,-0.321561,0.045011,-0.330603,0.132852,-0.263153,0.020984,-0.271529,0.126144,-0.303655,0.019997,-0.225728,0.065470,-0.206179,0.089581,-0.202489,0.041697,-0.209418,0.077470,-0.114217,0.025619,-0.120220,0.060150,-0.038003,0.016160,-0.040799,0.058338,-0.008353,0.013635,-0.012100
